timestamp,electricity_kwh,airTemperature,cloudCoverage,dewTemperature,precipDepth1HR,seaLvlPressure,windDirection,windSpeed,hour_sin,hour_cos,dow_sin,dow_cos
2016-01-01 00:00:00,463.8,7.2,0.0,-5.6,0.0,1017.3,0.0,0.0,0.0,1.0,-0.433883739117558,-0.9009688679024191
2016-01-01 01:00:00,440.84,7.2,0.0,-6.7,0.0,1017.0,50.0,1.5,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191
2016-01-01 02:00:00,425.25,6.1,0.0,-5.0,0.0,1016.9,0.0,0.0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2016-01-01 03:00:00,427.84,5.0,0.0,-5.6,0.0,1017.4,0.0,0.0,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191
2016-01-01 04:00:00,438.37,4.4,0.0,-5.6,0.0,1017.2,0.0,0.0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
2016-01-01 05:00:00,434.18,4.4,0.0,-5.0,0.0,1017.4,0.0,0.0,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191
2016-01-01 06:00:00,472.21,2.8,0.0,-5.0,0.0,1018.0,0.0,0.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
2016-01-01 07:00:00,438.75,3.3,0.0,-5.0,0.0,1018.9,0.0,0.0,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191
2016-01-01 08:00:00,449.74,3.3,0.0,-3.9,0.0,1019.4,0.0,0.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191
2016-01-01 09:00:00,454.86,5.6,0.0,-2.8,0.0,1020.0,100.0,1.5,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191
2016-01-01 10:00:00,458.77,8.3,0.0,-3.3,0.0,1020.5,0.0,0.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
2016-01-01 11:00:00,476.68,10.6,0.0,-4.4,0.0,1020.5,0.0,0.0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191
2016-01-01 12:00:00,480.83,12.2,0.0,-3.9,0.0,1019.8,0.0,0.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191
2016-01-01 13:00:00,471.73,14.4,2.0,-3.3,0.0,1018.5,0.0,0.0,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191
2016-01-01 14:00:00,481.19,16.7,2.0,-1.7,0.0,1017.7,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
2016-01-01 15:00:00,488.0,17.8,2.0,-1.1,0.0,1017.4,0.0,0.0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191
2016-01-01 16:00:00,500.43,18.9,4.0,-0.6,0.0,1017.4,0.0,0.0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191
