timestamp,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,apparent_power,power_factor,T2M,T2MDEW,RH2M,WS10M,PS,PRECTOTCORR
2006-12-16 18:00:00,3.6321999999999997,0.08003333333333333,234.58016666666666,15.6,0.0,403.0,1012.0,3.6330816360831255,0.9997573310562665,2.97,3.13,100.0,3.16,101.52,0.03
2006-12-16 19:00:00,3.4002333333333334,0.08523333333333333,233.23250000000002,14.503333333333334,0.0,86.0,1001.0,3.401301433601883,0.9996859730637228,1.99,2.46,100.0,2.84,101.59,0.02
2006-12-16 20:00:00,3.2685666666666666,0.0751,234.07150000000001,13.916666666666666,0.0,0.0,1007.0,3.2694293178541796,0.9997361462494992,0.98,1.92,100.0,2.74,101.65,0.01
2006-12-16 21:00:00,3.0564666666666667,0.07666666666666666,237.15866666666668,13.046666666666665,0.0,25.0,1033.0,3.057428046941125,0.9996855591498154,0.51,1.62,100.0,2.53,101.69,0.0
2006-12-16 22:00:00,2.2001333333333335,0.05616666666666667,238.76000000000002,9.523333333333333,0.0,8.0,266.0,2.2008501491216728,0.9996743005021831,0.33,1.48,100.0,2.3,101.7,0.0
2006-12-16 23:00:00,2.0616,0.07143333333333332,240.61966666666666,8.896666666666667,0.0,5.0,0.0,2.062837192100024,0.9994002473366478,-0.08,1.31,100.0,2.37,101.72,0.0
2006-12-17 00:00:00,1.8824666666666665,0.10243333333333333,240.96183333333332,8.126666666666667,0.0,28.0,0.0,1.885251531994839,0.9985228149767231,-0.45,1.14,100.0,2.59,101.73,0.0
2006-12-17 01:00:00,3.3494,0.13693333333333332,240.44833333333332,14.246666666666666,0.0,1514.0,0.0,3.3521979502675223,0.9991653385900737,-0.33,1.12,100.0,2.59,101.74,0.01
2006-12-17 02:00:00,1.5872666666666668,0.07823333333333334,245.81866666666667,6.87,0.0,34.0,0.0,1.589193482731274,0.998787550990144,0.4,1.25,100.0,2.55,101.75,0.03
2006-12-17 03:00:00,1.6622,0.07953333333333333,244.5135,7.206666666666667,0.0,46.0,0.0,1.6641016769149386,0.9988572351429486,1.15,1.35,100.0,2.51,101.75,0.12
2006-12-17 04:00:00,2.2157666666666667,0.09346666666666666,243.8555,9.333333333333334,0.0,34.0,533.0,2.21773712123166,0.999111502194679,1.51,1.45,99.59,2.59,101.75,0.21
2006-12-17 05:00:00,1.9967333333333335,0.06023333333333333,243.71016666666668,8.566666666666666,0.0,10.0,279.0,1.9976416242381638,0.9995453183925437,1.69,1.62,99.26,2.43,101.76,0.35
2006-12-17 06:00:00,1.3033000000000001,0.09483333333333334,244.1415,5.53,0.0,43.0,0.0,1.306745671931272,0.9973631656065258,1.9,1.82,99.18,2.45,101.78,0.68
2006-12-17 07:00:00,1.6200333333333332,0.0598,241.84566666666666,6.803333333333333,0.0,10.0,0.0,1.621136650967805,0.9993194172534358,2.08,1.98,99.31,2.56,101.79,0.97
2006-12-17 08:00:00,1.8905666666666667,0.11856666666666667,241.3115,8.05,0.0,45.0,0.0,1.8942809653152184,0.9980392039425189,2.45,2.24,98.3,2.84,101.81,1.23
2006-12-17 09:00:00,2.5490666666666666,0.07923333333333334,238.8478333333333,10.973333333333333,0.0,439.0,0.0,2.5502977850090804,0.9995172648662245,3.09,2.69,97.14,3.1,101.82,0.93
2006-12-17 10:00:00,3.6289000000000002,0.1946,235.44099999999997,15.533333333333333,533.0,1341.0,969.0,3.6341139731714525,0.9985652697714095,3.61,3.1,96.5,3.07,101.81,0.55
2006-12-17 11:00:00,2.4709999999999996,0.2007,236.92466666666667,10.493333333333334,567.0,301.0,1031.0,2.479137247108356,0.9967177101155461,4.11,3.51,95.7,3.09,101.76,0.61
2006-12-17 12:00:00,1.9158666666666666,0.2940333333333333,237.78466666666665,8.136666666666667,0.0,32.0,1039.0,1.9382983995132317,0.9884271003617408,4.61,3.95,95.42,3.19,101.71,0.81
2006-12-17 13:00:00,1.6607666666666667,0.17153333333333334,239.92066666666668,6.923333333333333,0.0,3.0,1057.0,1.6696016307956685,0.9947083400219301,5.19,4.44,94.9,3.26,101.67,0.89
2006-12-17 14:00:00,2.092633333333333,0.2574,244.04566666666668,8.6,0.0,20.0,1094.0,2.1084043795671117,0.9925199139279834,5.38,4.8,96.0,2.79,101.65,0.77
2006-12-17 15:00:00,2.9854,0.0886,240.48083333333335,12.426666666666668,418.0,12.0,1062.0,2.9867144356298945,0.9995599058235317,4.25,4.53,100.0,2.47,101.65,0.8
2006-12-17 16:00:00,3.3260333333333336,0.09313333333333333,236.78183333333334,14.006666666666666,515.0,4.0,1030.0,3.3273370061089733,0.9996081933470381,3.37,4.38,100.0,2.78,101.66,0.87
2006-12-17 17:00:00,3.406766666666667,0.16663333333333333,234.22983333333335,14.51,0.0,28.0,1009.0,3.4108394551618653,0.9988059278225381,3.19,4.42,100.0,2.93,101.66,0.79
